market_id,market,report_date,available_from,open_interest,lev_long,lev_short,lev_spread,am_long,am_short,dealer_long,dealer_short,loaded_at
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-07-08,2025-07-11,4474425,536765,2504036,212662,2593971,447395,162806,507017,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-07-15,2025-07-18,4488146,469303,2497716,219746,2697297,466492,155921,473636,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-07-22,2025-07-25,4498643,485679,2469593,210236,2666133,485589,164885,484365,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-07-29,2025-08-01,4537590,497759,2482541,216968,2650269,487222,174981,484141,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-08-05,2025-08-08,4711407,473786,2594265,233816,2803923,493801,166936,539832,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-08-12,2025-08-15,4676837,398021,2565356,254898,2765005,503394,157388,504301,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-08-19,2025-08-22,4666650,380348,2465349,270862,2745145,504574,144838,549058,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-08-26,2025-08-29,4625185,391629,2392020,363000,2557284,487983,132186,511287,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-09-02,2025-09-05,4530923,402589,2448970,303779,2700703,536138,136646,478897,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-09-09,2025-09-12,4689855,423562,2597363,304609,2812439,500884,135265,503895,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-09-16,2025-09-19,4815314,430202,2611461,420884,2776944,471830,128613,497578,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-09-23,2025-09-26,4892985,494741,2574292,498906,2706330,458411,135533,521633,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-09-30,2025-10-03,4943952,512717,2519420,517990,2696451,472105,118471,551233,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-10-07,2025-10-10,4924236,499447,2580443,493519,2724409,499552,122972,501133,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-10-14,2025-10-17,4872074,525660,2600858,463306,2743113,451146,107121,532263,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-10-21,2025-10-24,4852361,449098,2561196,453188,2752243,504387,123149,492807,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-10-28,2025-10-31,4863307,477719,2572524,440835,2735090,544927,142645,473051,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-11-04,2025-11-07,4912524,490944,2609923,415546,2772847,559457,155272,501903,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-11-10,2025-11-13,4966143,525189,2623345,425982,2776930,573785,149166,493581,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-11-18,2025-11-21,4901582,454729,2551971,431757,2693335,555830,154178,485485,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-11-25,2025-11-28,4737149,507646,2523858,413377,2636442,492871,115450,440678,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-12-02,2025-12-05,4610866,523069,2590619,310239,2631390,526583,119478,383657,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-12-09,2025-12-12,4626387,502003,2644196,300869,2643787,478273,119852,367007,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-12-16,2025-12-19,4610175,475842,2711670,317014,2716311,452122,108411,372657,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-12-23,2025-12-26,4644378,517170,2737295,266062,2721312,450850,105111,400269,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-12-30,2026-01-02,4647035,546536,2776620,233044,2722915,443277,118699,400662,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-01-06,2026-01-09,4699240,516879,2776916,259741,2737966,487362,123049,398252,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-01-13,2026-01-16,4635398,363924,2617561,321212,2684895,461920,141488,443952,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-01-20,2026-01-23,4850436,462570,2671285,414457,2660827,464241,150351,467807,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-01-27,2026-01-30,4812734,506923,2651697,347250,2651683,460653,139234,509764,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-02-03,2026-02-06,4862401,506009,2653906,341923,2775393,541237,127822,515147,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-02-10,2026-02-13,4919359,512663,2660676,333474,2805690,522493,118989,543917,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-02-17,2026-02-20,4945848,489194,2637485,411212,2783988,487800,101309,518486,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-02-24,2026-02-27,4855345,452148,2532325,473389,2574421,508357,128633,421842,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-03-03,2026-03-06,4760710,451293,2526360,454300,2558521,488403,111658,432230,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-03-10,2026-03-13,4983990,400588,2378165,627699,2611013,514315,100401,563876,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-03-17,2026-03-20,5158110,377695,2525885,643135,2704671,473972,129298,550968,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-03-24,2026-03-27,5259052,405998,2762269,558832,3019962,407792,116611,635386,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-03-31,2026-04-03,5062894,456336,2655796,427232,2978053,477062,104660,595463,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-04-07,2026-04-10,5048661,460754,2636824,426204,2971823,501202,98477,570873,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-04-14,2026-04-17,5005123,385075,2481338,441167,2972686,608422,115637,569207,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-04-21,2026-04-24,5004864,407839,2528272,448010,2907663,588033,101912,486506,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-04-28,2026-05-01,4978827,393467,2530437,454247,2911440,568569,107551,524945,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-05-05,2026-05-08,5009643,404579,2456920,493230,2831844,605429,126102,492583,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-05-12,2026-05-15,5064863,392506,2361843,578592,2739856,621768,148684,499647,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-05-19,2026-05-22,5173095,403161,2299793,670700,2801652,656430,143491,554996,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-05-26,2026-05-29,5043111,362249,2135296,635777,2619708,625890,146129,526955,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-06-02,2026-06-05,4420434,359797,2176200,242882,2642971,681597,140560,468452,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-06-09,2026-06-12,4421942,359340,2040575,297042,2492711,617504,114743,531022,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-06-16,2026-06-19,4444884,408506,2122392,255441,2442518,613939,138542,509679,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-06-23,2026-06-26,4699663,349230,2139385,462790,2585334,571421,121529,599930,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-06-30,2026-07-03,4621622,377558,2128165,407119,2535390,580953,128722,547412,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-07-07,2026-07-10,4592857,338544,2101944,431609,2476290,585792,134703,491265,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-07-14,2026-07-17,4652454,375421,2056793,464146,2452176,580548,122845,572196,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-07-21,2026-07-24,4473842,359468,1959648,366849,2409732,593045,116205,571289,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2026-07-28,2026-07-31,4593631,455851,2019340,366727,2420762,587649,107539,580453,2026-08-04 20:52:29.533318
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-01-05,2010-01-08,196272,22630,64196,21261,20591,16994,55192,32709,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-01-12,2010-01-15,187577,22149,43730,13686,19072,19656,55955,47349,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-01-19,2010-01-22,195009,16508,51609,15204,19765,20128,62680,42087,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-01-26,2010-01-29,226485,16627,61489,21134,18490,19442,87657,47840,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-02-02,2010-02-05,238531,14058,63842,26278,18795,17802,91654,47258,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-02-09,2010-02-12,243407,15374,77684,22155,12229,20376,110392,41202,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-02-16,2010-02-19,246958,13660,72810,27301,13176,20448,107951,42943,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-02-23,2010-02-26,273086,17880,85306,35133,14355,22552,116316,41467,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-03-02,2010-03-05,282455,16652,81235,37888,14748,24623,116400,45137,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-03-09,2010-03-12,280092,18112,92297,23260,14431,23920,126352,45162,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-03-16,2010-03-19,199309,18612,80192,18602,14181,24642,72804,9437,2026-08-04 20:52:31.108629
eur,EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-03-23,2010-03-26,239208,20150,100857,23945,15595,25043,96548,12664,2026-08-04 20:52:31.108629
